feature_id,geometry_type,geometry_longitude,geometry_latitude,ag_geom,x,y,long,lat,org_nam,str_use,str_nam,str_adr,stt_cde,alt_val,int_len,int_grd,sht_grd,lnd_siz,pad_siz,hor_rad,com_dat,use_dat,use_typ
LT_P_AISHCSTRIP.50,Point,126.815055556,37.152580556,POINT(126.815055556 37.152580556),126.815055555999948,37.152580555999975,"126° 48' 54.200"" E","37° 9' 9.290"" N",서항청,사용,현대자동차㈜ 남양연구소 육상헬기장,경기도 화성시 장덕동 772-1번지,사설,2.05m,"1,000m",4.72222222222222E-02,1:2,75.0m×27.0m,75.0m×27.0m,200m,09.12.23,10.1.14,"주,야간시계비행"
LT_P_AISHCSTRIP.51,Point,127.20825,37.2962416669999,POINT(127.20825 37.2962416669999),127.208249999999907,37.296241666999947,"127° 12' 29.700"" E","37° 17' 46.470"" N",서항청,사용,파미(에버랜드)헬기장2,경기도 용인시 처인구 포곡읍 유운리 518번지외 2,사설,126.5m,"1,000m",1:8,1:2,25m×25m,25m×25m,200m,11.2.14,11.4.14.,주간시계비행
LT_P_AISHCSTRIP.52,Point,127.799111111,37.4096111109999,POINT(127.799111111 37.4096111109999),127.799111110999888,37.409611110999947,"127° 47' 56.800"" E","37° 24' 34.600"" N",서항청,사용,산림항공본부 육상헬기장,강원도 원주시 지정면 판대리 산27-1번지,국가 기관,170.00m,"1,000m",1:8,1:2,33.0m×33.0m,33.0m×33.0m,200m,10.4.12,13.10.21.,"주,야간시계비행"
LT_P_AISHCSTRIP.53,Point,126.707563889,37.4524972219999,POINT(126.707563889 37.4524972219999),126.707563888999971,37.452497221999920,"126° 42' 27.230"" E","37° 27' 8.990"" N",서항청,사용,길병원 옥상헬기장,인천시 남동구 구월동 1141-16번지,사설,111.96m,"1,000m",1:8,1:1 1:10,16.5m×21m,16.5m×21m,200m,11.9.9.,11.10.4.,"주,야간시계비행"
LT_P_AISHCSTRIP.54,Point,126.789306641,36.3853149409999,POINT(126.789306641 36.3853149409999),126.789306640999939,36.385314940999933,"126° 47' 21.504"" E","36° 23' 7.134"" N",서항청,사용,산림청 청양 육상헬기장,충청남도 청양군 남양면 용두리 산28-1번지일원,공용,135,1000,1:8,1:2,33.0m×33.0m,33.0m×33.0m,200m,09.6.17.,12.12.4.,"주,야간시계비행"
LT_P_AISHCSTRIP.55,Point,127.461211111,36.6232527779999,POINT(127.461211111 36.6232527779999),127.461211110999898,36.623252777999937,"127° 27' 40.360"" E","36° 37' 23.710"" N",서항청,사용,충북대학교병원 옥상헬기장,충북 청주시 흥덕구 1순환로 776,사설,115.81m,"1,000m",1:8,1:2,16m×21m,16m×21m,200m,12.1.9.,15.5.26.,"주,야간시계비행"
LT_P_AISHCSTRIP.56,Point,127.240117004,36.5313896509999,POINT(127.240117004 36.5313896509999),127.240117003999899,36.531389650999927,"127° 14' 24.421"" E","36° 31' 53.003"" N",서항청,사용,세종 정부청사 헬기장,세종특별자치시 고운동 587-2,국가 기관,107.09m,"1,000m",1:8,1:2,56m×27m,,200m,12.7.23.,12.12.26.,"주,야간시계비행"
LT_P_AISHCSTRIP.57,Point,127.946472168,37.3479003909999,POINT(127.946472168 37.3479003909999),127.946472167999900,37.347900390999939,"127° 56' 47.300"" E","37° 20' 52.441"" N",서항청,사용,원주기독병원 옥상헬기장,강원도 원주시 일산동 162,사설,169m,"1,000m",1:8,1:1 1:10,18.24m×15m,18.24m×15m,200m,12.8.20.,13.3.15.,"주,야간시계비행"
LT_P_AISHCSTRIP.58,Point,127.057013889,37.2559249999999,POINT(127.057013889 37.2559249999999),127.057013888999904,37.255924999999934,"127° 3' 25.250"" E","37° 15' 21.330"" N",서항청,사용,삼성전자㈜ 옥상헬기장,경기도 수원시 영통구 매탄동 560번지,사설,47.90m,"1,000m",1:8,1:2,,24m×24m,200m,12.3.18.,13.5.23.,주간시계비행
LT_P_AISHCSTRIP.59,Point,127.043142919,37.464707814,POINT(127.043142919 37.464707814),127.043142918999933,37.464707813999951,"127° 2' 35.315"" E","37° 27' 52.948"" N",서항청,사용,현대자동차 본사 옥상헬기장,서울시 서초구 양재동 231번지,사설,129.15,"1,000m",1:8,1:2,19.50m×22.5m,,200m,13.4.9.,13.5.21.,"주,야간시계비행"
